iter	Passed	Remaining
0	12	3699
1	23	3554
2	35	3513
3	46	3470
4	57	3413
5	68	3357
6	80	3362
7	91	3325
8	101	3292
9	112	3258
10	123	3241
11	134	3216
12	144	3192
13	154	3161
14	165	3138
15	175	3116
16	186	3101
17	196	3084
18	207	3065
19	217	3050
20	228	3041
21	239	3029
22	250	3015
23	261	3003
24	271	2986
25	281	2970
26	292	2961
27	303	2949
28	314	2939
29	325	2930
30	336	2918
31	346	2902
32	357	2889
33	367	2878
34	378	2866
35	389	2855
36	400	2846
37	412	2846
38	426	2854
39	438	2849
40	452	2860
41	466	2863
42	478	2862
43	490	2852
44	503	2855
45	518	2862
46	533	2873
47	547	2871
48	559	2866
49	571	2859
50	584	2851
51	595	2840
52	607	2833
53	619	2822
54	631	2812
55	643	2802
56	654	2792
57	666	2782
58	678	2772
59	690	2763
60	703	2757
61	715	2747
62	727	2738
63	740	2729
64	752	2720
65	764	2709
66	776	2700
67	789	2695
68	805	2696
69	820	2694
70	834	2691
71	847	2685
72	862	2683
73	878	2683
74	895	2686
75	917	2704
76	936	2710
77	951	2709
78	967	2705
79	982	2701
80	998	2699
81	1014	2697
82	1029	2692
83	1043	2684
84	1058	2677
85	1073	2671
86	1086	2661
87	1100	2651
88	1117	2648
89	1132	2642
90	1146	2633
91	1160	2623
92	1173	2611
93	1185	2598
94	1197	2584
95	1210	2572
96	1223	2561
97	1237	2550
98	1250	2538
99	1262	2525
100	1275	2513
101	1287	2499
102	1299	2486
103	1312	2473
104	1329	2469
105	1342	2456
106	1354	2443
107	1367	2430
108	1379	2417
109	1392	2404
110	1404	2390
111	1416	2377
112	1427	2362
113	1439	2348
114	1450	2333
115	1462	2319
116	1473	2304
117	1484	2290
118	1495	2275
119	1506	2260
120	1518	2246
121	1533	2236
122	1546	2225
123	1559	2212
124	1570	2198
125	1582	2185
126	1593	2171
127	1605	2157
128	1617	2143
129	1627	2128
130	1637	2113
131	1648	2097
132	1658	2083
133	1669	2068
134	1679	2053
135	1690	2038
136	1701	2023
137	1711	2008
138	1721	1994
139	1732	1979
140	1743	1965
141	1753	1951
142	1764	1937
143	1775	1923
144	1785	1909
145	1796	1894
146	1806	1880
147	1817	1866
148	1828	1853
149	1839	1839
150	1850	1825
151	1861	1812
152	1871	1798
153	1881	1784
154	1892	1770
155	1903	1756
156	1913	1743
157	1924	1729
158	1934	1715
159	1945	1702
160	1956	1689
161	1969	1678
162	1983	1667
163	1995	1655
164	2007	1642
165	2018	1629
166	2029	1616
167	2039	1602
168	2050	1589
169	2061	1576
170	2071	1562
171	2082	1549
172	2092	1536
173	2103	1523
174	2113	1509
175	2124	1497
176	2135	1483
177	2145	1470
178	2156	1457
179	2166	1444
180	2177	1431
181	2187	1418
182	2198	1405
183	2208	1392
184	2218	1379
185	2229	1366
186	2239	1352
187	2249	1339
188	2259	1326
189	2269	1313
190	2279	1301
191	2289	1287
192	2299	1275
193	2310	1262
194	2321	1250
195	2332	1237
196	2342	1224
197	2353	1212
198	2364	1200
199	2375	1187
200	2387	1175
201	2399	1163
202	2412	1152
203	2424	1140
204	2435	1128
205	2446	1116
206	2458	1104
207	2468	1091
208	2479	1079
209	2490	1067
210	2500	1054
211	2511	1042
212	2521	1030
213	2532	1017
214	2542	1005
215	2553	993
216	2564	980
217	2574	968
218	2585	956
219	2596	944
220	2606	931
221	2617	919
222	2627	907
223	2638	895
224	2650	883
225	2661	871
226	2671	859
227	2681	846
228	2692	834
229	2703	822
230	2713	810
231	2723	798
232	2733	786
233	2744	774
234	2755	762
235	2766	750
236	2776	738
237	2787	726
238	2797	714
239	2808	702
240	2820	690
241	2833	679
242	2847	667
243	2859	656
244	2870	644
245	2882	632
246	2893	620
247	2903	608
248	2913	596
249	2924	584
250	2934	572
251	2945	561
252	2957	549
253	2968	537
254	2979	525
255	2989	513
256	3001	502
257	3013	490
258	3023	478
259	3034	466
260	3045	455
261	3056	443
262	3067	431
263	3078	419
264	3090	408
265	3101	396
266	3112	384
267	3124	373
268	3134	361
269	3145	349
270	3156	337
271	3167	326
272	3178	314
273	3188	302
274	3199	290
275	3210	279
276	3221	267
277	3231	255
278	3244	244
279	3255	232
280	3267	220
281	3280	209
282	3293	197
283	3306	186
284	3319	174
285	3330	163
286	3341	151
287	3352	139
288	3362	127
289	3372	116
290	3383	104
291	3393	92
292	3404	81
293	3416	69
294	3427	58
295	3438	46
296	3449	34
297	3460	23
298	3470	11
299	3481	0
